KOG0370,7,5,Q42601,ZERO,Q18990,Q18990,P05990,ZERO,F1QS89;F6PBT6,F1QS89;F6PBT6,P27708;P31327,P27708;P31327,P07259;P03965,P07259;P03965,Q09794;O94313,O94313,
KOG0399,7,1,Q9LV03;Q9ZNZ7;Q9T0P4,Q9LV03,Q18164,ZERO,M9NFH8,ZERO,F1QUE6,ZERO,Q12882,ZERO,Q12680,ZERO,Q9C102,ZERO,
KOG0537,7,1,Q42342;Q0WLH2;O22704;Q9ZNV4;O48845;P11832;Q9FDW8;Q9ZWT2,Q0WLH2;P11832,G5EBI9,ZERO,Q9VUZ3;Q9VJC0;Q8IRR0,ZERO,A8WGS0;F1R936;Q6NY41,ZERO,P00167;J3KNF8,ZERO,P40312;Q3E809;Q03529;P21147,ZERO,O94391;Q9USM6;O94523,ZERO,
KOG0534,7,0,Q9ZNT1;Q29Q36,ZERO,O16522,ZERO,A1ZBK6;Q9I7R1;Q9VWK8,ZERO,F1QIA4;F1QJ75;I3ISI1;Q0P487;Q6NYE6,ZERO,F8VW03;P00387;Q9UHQ9;Q96HP4;Q7L1T6;Q6BCY4,ZERO,P36060;P38626;P38909;Q04516;Q12746,ZERO,O13809;O74557,ZERO,
KOG0683,7,1,Q56WN1;Q8LCE1;Q9FMD9;Q43127;Q8GXW5;Q9SCP3;Q9LVI8,Q56WN1;Q8LCE1;Q9FMD9;Q8GXW5;Q9LVI8,Q95YD1;P34497;Q9U307;Q9XVU2,ZERO,P20477;X2JJG8,ZERO,Q7T2P7;F1QCV3;Q29RF4;Q08CT3,ZERO,A8YXX4;Q5TDP6,ZERO,P32288,ZERO,Q09179,ZERO,
KOG0867,7,1,Q9FHE1;P42760;Q9SLM6;Q96266;Q9SRY5;Q84TK0;Q9LZI9;Q9ZRT5;Q9SRY6;Q9FE46;O04487;P46422;Q96324;Q8L727;O80852;Q9FVT2;P42761,ZERO,P54412,ZERO,Q7JVI6;Q7KK90;A1ZB68;A1ZB69;A1ZB71;A1ZB72;A1ZB73;Q7K8X7;Q7K0B6;A1Z7X7;Q9VGA1;Q9VGA0;Q7JYZ9;Q7JVZ8;Q9VG97;Q9VG96;Q9VG98;Q9VG93;Q9VG95;Q9VG94;E1JJS1;Q4V6J1;P20432;Q8SXQ9;Q8MRM0;A0A0B4JD11;Q7JYX0;Q9XYZ9;Q8MKK1;Q9W1N5;Q6NP69;A1ZB70,ZERO,F1QFL1;Q1L907;F1QVE4;F1R826;E7EZ94;B0V1J9;F1Q740,ZERO,A0A024RCN6;C9J1V9;G9J6Q5;O43324;P26640;P56192;Q53YD7,ZERO,P36008;P29547;Q12390;P40582;P23202;P42936,P23202,O74830;B5BP46;Q9P6M1;Q9Y7Q2;O59827;P40921,ZERO,
KOG1237,7,1,Q9CAR9;Q0WSZ6;Q9SRI2;Q9SK99;Q9LVE0;Q9LYR6;Q9M1I2;Q9FNL7;Q9LV10;Q8GXN2;Q9C7U1;Q9M1E2;Q9SK96;Q9M175;P46032;Q8H157;Q93Z20;Q05085;Q9LFB8;O80436;Q9SX20;Q56XQ6;Q9SZY4;Q9LSE8;Q9LFR1;Q9LFX9;Q93VV5;Q9M172;Q9LYD5;Q84WG0;P0CI03;Q8VZR7;Q8VZE2;Q944G5;Q0WP01;Q8VYE4;Q9M171;Q9M1E1;Q9LQL2;Q9LSF0;Q9M173;Q9M817;Q8RX67;Q8LPL2;Q9M331;Q8RX77;Q3E8X3;Q3E9B5;Q9FM20;Q9M390;Q9FNL8;Q9M9V7;Q9M174,Q9LVE0;Q8H157;Q9SX20;Q9SZY4;Q9M171;Q9M1E1;Q9LQL2;Q9M173;Q9M174,O01840;Q17758,ZERO,Q9VH93;Q8IRT1,ZERO,B0S6T2;G1K2P8;F1QDR9;F1QP47;F1QYV6,ZERO,A6NIM6;B2CQT6;Q16348;Q8IY34;Q8N697,ZERO,P32901,ZERO,Q9P380,ZERO,
KOG1317,7,1,P93033;Q9FI53,Q9FI53,O17214,ZERO,Q8IRQ5;Q9W3X5;Q9VTI5,ZERO,F1QWR4,ZERO,P07954,ZERO,P08417,ZERO,O94552,ZERO,
KOG1601,7,1,Q8VZP4;Q9SKN6;Q8RWD0;Q9LRH6;Q9ZVD3;Q9M1U2;Q0WRG3;Q1PFY3;Q94KJ2;Q9ZPX0;Q6DBP8;Q9C9A9;O49743;Q9SZI6;P69781;Q9ZWS6;Q8H1G0;F4K554;Q9SHC2;Q9FJ16;Q9LU68;Q9FH57;Q8LC59;Q9LZJ8;Q8W4H1;Q9SB04;Q6QPM2;Q8GXL7;Q8LDM8;Q9LT45;Q5HZ36;Q9FGT7;Q7G8V2;Q39057;Q9LYP5;C0SV91;Q2HIV3;O65515;Q9SV30;Q96502;Q9M9B9;O80366;Q8L4M6;Q9M9B3;Q9LVG4;Q6LA42;Q9LIB5;Q940T9;Q9ZWS9;Q9FHH8;Q9LKL2;Q93WK5;Q9SK53;Q8LG10;O49741;Q9C9F6;O82632;Q8LC79;Q8LAU9;Q9FJ10;Q5PP38;O50055;Q949T9;Q8LG76;Q8GW81;Q6LA43;Q9FIS7;Q9SD38,ZERO,Q10655;O61924;Q8MQA7;Q9XUW7;G5EDN4;Q3S1J8;G5ECK1;B7WN96;G5EF25;G5EF71,ZERO,A0A0B4K6J1;A0A0B4KFB6;Q8T3J0;Q9BPQ2;Q9BPQ1,ZERO,F1QEY1;Q9W6U0;F1QQG0;F1QD30;Q91428;Q6NW63;B8JKU1;F1QVT3;Q05AJ3;Q7T3G1,ZERO,P23769;P43694;Q92908;Q9BWX5;P0C6A0;P23771;P15976;Q9UHF7,ZERO,Q02710;Q96VH1;P40569;P43574;P40209;P26343;Q07928;P18494;P42944,P26343;P18494,Q9USM3;Q10280;Q10134;O94720,ZERO,
KOG2169,7,1,A0A0A7EPL0;F4JYG0;Q680Q4,Q680Q4,Q21970,ZERO,A0A0B4LEH9;Q7KUE4,ZERO,F1R4C4;F1QS57;A2CE48;E7F4Q2;E7F4I9;F8W4B9;A8E7T0;F1QWH6,ZERO,O75928;Q8N2W9;Q9ULJ6;O75925;Q8NF64;Q9Y6X2,ZERO,Q12216;Q04195,ZERO,O94451,ZERO,
KOG3147,7,1,Q8LEV7;Q84WW2;Q9FIN1;Q9LMX8;Q8LG70,Q84WW2,O18229,ZERO,Q9VZ64,ZERO,E7FGT2;F1R0C0,ZERO,O95479;O95336,ZERO,Q3E841;P53315;P38858;P37262,ZERO,O74455,ZERO,
