KOG0188,7,7,P36428;Q9FFC7,P36428;Q9FFC7,Q23122,Q23122,Q9VRJ1;Q9VLM8,Q9VRJ1;Q9VLM8,Q1LVL3,Q1LVL3,Q5JTZ9;P49588,Q5JTZ9;P49588,P40825,P40825,O13914,O13914
KOG0371,7,1,O04951;Q07100;Q07099;P48578;Q07098,ZERO,Q09496;Q9XW79,ZERO,O76932;M9PGI3;X2JDI1,ZERO,A9JRC7;B7ZVT0;F1Q6Z7;Q567Y8;Q803G3;Q7ZUS7,ZERO,B3KUN1;P62714,ZERO,P20604;P23594;P40152;P32345;P23595,P20604,O74789;P36614;P23636;P23635,ZERO
KOG0867,7,2,Q9FHE1;P42760;Q9SLM6;Q96266;Q9SRY5;Q84TK0;Q9LZI9;Q9ZRT5;Q9SRY6;Q9FE46;O04487;P46422;Q96324;Q8L727;O80852;Q9FVT2;P42761,ZERO,P54412,ZERO,Q7JVI6;Q7KK90;A1ZB68;A1ZB69;A1ZB71;A1ZB72;A1ZB73;Q7K8X7;Q7K0B6;A1Z7X7;Q9VGA1;Q9VGA0;Q7JYZ9;Q7JVZ8;Q9VG97;Q9VG96;Q9VG98;Q9VG93;Q9VG95;Q9VG94;E1JJS1;Q4V6J1;P20432;Q8SXQ9;Q8MRM0;A0A0B4JD11;Q7JYX0;Q9XYZ9;Q8MKK1;Q9W1N5;Q6NP69;A1ZB70,ZERO,F1Q740;Q1L907;F1QVE4;F1R826;E7EZ94;B0V1J9,F1Q740,A0A024RCN6;P26640;C9J1V9;O43324;Q53YD7;G9J6Q5,A0A024RCN6;P26640;O43324,P36008;P29547;Q12390;P40582;P23202;P42936,ZERO,O74830;B5BP46;Q9P6M1;Q9Y7Q2;O59827;P40921,ZERO
KOG0432,7,6,P93736;Q9LFX2;F4KE63,P93736;F4KE63,Q9U1Q4;Q23360,Q9U1Q4;Q23360,Q9VSR7;Q0E993,ZERO,F1QSW0,F1QSW0,A0A0G2JL52;Q5ST30,A0A0G2JL52;Q5ST30,P07806,P07806,O14160;O75005,O14160;O75005
KOG1247,6,5,F4KDS0,F4KDS0,NONE,NONE,A1ZBE9,ZERO,F1QFL1,F1QFL1,P56192,P56192,P00958,P00958,Q9UUF2,Q9UUF2
KOG0436,7,6,Q9M2T9,Q9M2T9,B3KYC0;Q7YTU2,B3KYC0,Q9VFL5,Q9VFL5,E7F5M3,ZERO,Q96GW9,Q96GW9,P22438,P22438,O14000,O14000
KOG0598,7,1,P42818;Q39030,ZERO,Q19858;Q21694;Q18846;G5EE78;Q9XTG7;Q9NAH6;Q2PJ68;Q21483,ZERO,Q9VN23;P91656;Q9V3I5;A0A0B4LIA3,ZERO,B0R0M9;Q7ZTW4;E7EXT6;E7F9R4;E7F469;E7F0B0;A2BIB3;Q8UUX0;E7F164;F1R3V1;F1Q9P5;F1QYQ1;E7EY93;E7FE05;F1R730;A3KQ53;E9QG10;F1QBK0,ZERO,A0A0A0MQV2;B0LPE5;K7ERJ3;O00141;O75676;P23443;P31751;P51812;Q15349;Q15418;Q9NY57;Q9Y243;Q9UBS0;Q9UK32;Q86UX6;Q9HBY8;Q8WU08,ZERO,P12688;P18961;P38070;P11792,ZERO,Q9P7J8;O74426;Q12706;P50530;Q10364,Q10364
KOG0619,7,0,Q8GYK0;Q0WL06;F4K682;O48705;O80809;Q5G5E0;Q9SSD1;Q9SFG3;Q9SKK2;Q9C6A7;Q9SVM5;Q8W4Q3;Q1PEN0;O49325;O64566;Q9SSM0;Q9LQ21;Q9SRL2;Q9FH86;Q9SJH6;O49327;Q9LRX1;Q9XID2;Q9FH56;O64757;Q9LS80;Q6Q4D0;F4HT77;Q9LJS2;Q5PP26;Q9C906;Q6NQP4;Q9LT39;Q8VYG9;Q70CT4;Q9LS79;Q9FHL8;Q9LJK6;O49328;F4HR92;Q9C6A6;Q9M9X0;Q9LXU5;Q9FFJ3;Q9C6A8;Q9C637;Q9SVW8;Q7FZR1;Q9ZT98;Q93YT3;F4HV48;Q00874;Q5G5D8;Q0WN16;Q9S9U3;Q9FW48;Q8RWE5;Q9FPJ5;O48763;Q9LP24;Q9ZUK3;O81455;Q9SRL7;Q9M2Y3;Q9CA41;Q0WVH1;Q8VZG8;Q9FW47;Q9FW49;Q9LRW9;Q9LRV8;Q9FL15;Q9M1B6;Q9SHI3;Q9C9H6;Q0WR58;Q9C9H7;Q9MA83;Q9SGN1;O48849;Q9SHU4;P0C895;Q9FJ11;Q9M9X1;Q9M0H5;Q8RX63;F4IHG3;Q8GZ49;Q8RWI2;Q9FLK9;Q9LJS0;Q9LUN3;Q9SN38;Q8RXQ6;O49329;Q9SHI4;Q0WRZ8;Q9C611;Q9SVN2;Q9C699;Q9LI76;Q9FK66;Q9SKK5;Q9LJW7,ZERO,G5EG78;G5EFP4;Q93373;Q93377;Q18902;Q9U3A0;Q09564;Q22075;P90920;Q23580;Q22187;Q1ENI8;O01764;Q9N4Z5;Q9N5D7;Q93177;Q7JPD6;Q93539;Q9XW74;Q9TZM3;O61967;O02329,ZERO,Q8SXT3;Q9VJ07;Q9W2D7;Q9VR83;Q7JWP9;A0A0B4KHY2;Q9VZ84;Q9VKX6;Q8IH19;Q9VJQ0;Q95S21;Q9V430;Q9VJN8;Q9VQS3;X2JJX6;Q7KV24;Q9VHV2;Q9VBR3;A0A0B4KHK5;Q9W2J7;Q9VT89;Q6NR19;Q7JPR9;Q7JXU8;Q24386;Q0KHN6;Q9VDD5;A0A0B4LGB0;Q7K2X5;M9PFH7;Q9VDD4;A0A0B4KHT3;Q9VAD1;Q5U1A7;Q9W3T9;A0A0B4KFU1;Q7KT58;Q9VBP0;Q6AWM0;Q9W128;X2JCD3;Q9VEH4;Q9W266;Q86PM1;M9MSI4;Q9VT44;Q2XY26;Q9V9V6;Q9VV09;Q8T3J2;Q9VK22;Q9VHV3;B6IDK2;Q9VZZ4;Q9W2U2;Q9BN18;Q8SZV5;D0IQL1;X2J6K6;Q9VE49,ZERO,E7FC34;F1QG51;F1QG52;I3ITI1;F1RE98;B8JKF3;F1R0N0;B8JIB3;F1R616;E7F6K4;Q1LXA7;H9GY03;E9QIH3;B0S5R7;B8A5X5;F1Q9H7;F1QCS9;E7EXY6;I3IS38;F1Q6F4;F1QPU8;E7F5U2;F1Q8K6;Q6GMI5;F1QPB1;F1R2G2;A8DZ86;E7FDN5;H9GYJ3;E7F9S2;E7F333;I7HJH4;M9MM99;E7EXM1;F1QHX4;A2BIH6;E7FFN8;F1QJU2;Q66HV9;F1RET9;F1R2H9;F1QRY7;F1QX89;F1R770;F1QBH8;Q1LV51;E7FF15;Q1L8Y7;F1Q7R2;E7F0F5;A4QNV9;E7F7W3;F1Q7V7;E9QF02;E7F965;Q15JE7;E7FBM0;F8W4D7;F1QFI1;F1R6B0;Q1ED19;F1QKB4;Q5RI43;F1QJY2;B8A5X4;B8JIN1;G1K2U4;F1R1Q4;F8W5N7;B0S5X0;A0JMK3;F1QJL6;E9QJJ1;E7F2A9;F1QGN1;F1Q881;F1QLW6;F1QRB0;F1QFS7;F1QR37;B8JLP1;E7FB87;F6P621;B8JKM0;A2CF42;Q6DHL5;F1Q983;Q5RI45;B3DK88;E7F3W2;B0R160;F1Q809;F1R0V0;E7FE43;F1QCU7;F1QA76;F6NL91;F1R6I3;A3KH16;E7FBW4;E7FEH0;E7FB32;E7FDK4;E7FBY6;F1QLS2;E7EZ70;E7FB25;Q5RHE5;F1R6G3;E9QCF6;B0S8K3;A5WVM1;F1Q7W4;E7F813;F1QK21;F1QVN0;F1QNH9;E7F1H8;E7FFB2;E7FE13;F1R8Q8;E7FB24;A2BF98;F1QVP4;A8BBJ2;Q4H4B6;F1RDG1;F1R478;E7EXH9;F1R2S9;F1QT78;E7EZ83;B0S5B5;F1Q726;F1RDW2;F1Q661;H9GZ54;A9JRH0;E7EXN8;E7FDP8;E7FC40;H9GXC4;E7FCW6;F1QY29,ZERO,A0A024R2R5;A0A024R4I8;A0A024R5I6;A0A024R5J7;A0A024R5J8;A0A024R870;A0A024R892;A0A024R971;A0A024R993;A0A024R9M3;A0A024RBC3;A0A0A8K8C7;A4D0T1;A4D1F6;A6NDA9;A6NIK2;A6NIV6;A6NM36;A6NM62;A8K0R3;Q86UN3;P14770;Q6WRI0;Q6P2D8;Q9BXN1;Q6NSJ5;P02750;Q8TDW0;Q9H756;Q7L1W4;P13224;Q9UFC0;Q96PE1;Q9HBL6;Q86YC3;Q6PEZ8;Q9HB75;Q9BTN0;Q50LG9;Q99983;Q8N7C0;Q9BZR6;Q6UXM1;Q6FH10;O43300;Q8N967;Q9P2V4;Q86VH4;Q6ZNQ3;P22792;P51888;Q13641;Q9P244;Q6UXK5;Q8WXD0;P23515;Q6P9F7;P07359;Q9ULH4;O14498;P21810;Q86UE6;Q9HBW1;Q5VT99;Q86VH5;Q8N6Y2;Q86X40;Q96CX6;O94769;Q96L50;Q9HCJ2;Q6UY18;Q7L985;Q9BXB1;Q68CR7;O60938;P51884;Q8IWK6;Q7Z5L7;Q9Y2L9;Q9UBM4;P35858;Q6EMK4;Q8N456;Q9Y4C4;Q8WUT4;Q5JU00;Q7Z2Q7;Q96DD0;Q96FE5;O60346;Q96NI6;Q38SD2;Q9HBX8;Q5BKY1;Q9UQ13;Q6UXK2;Q2I0M4;Q6ZSA7;Q9HBX9;J3KQU2;Q6NUI6;Q9NR99;Q86UN2;O15335;Q86SQ6,ZERO,Q08817;P08678,ZERO,P14605;O94294,ZERO
KOG2472,7,7,Q9SGE9,Q9SGE9,Q9N3F2,Q9N3F2,Q9VCA5,Q9VCA5,E7F8Y1;F1Q820;F1QAF8,F1Q820;F1QAF8,A0A024R4G1;Q9NSD9,Q9NSD9,P15624,P15624,O42849,O42849
KOG0645,6,1,F4JVW1;O80990,ZERO,Q9XW12,ZERO,Q7K1Y4,ZERO,Q6P0D9,ZERO,O76071,ZERO,Q05583,Q05583,NONE,NONE
KOG3022,7,1,O49472;Q6STH5;Q8H1Q2,ZERO,Q93459,ZERO,Q9V9M8;Q9VJI9;Q9VPD2,ZERO,E7F7C5,ZERO,X5D2R5,ZERO,P40558;P52920,P40558;P52920,Q9UT57;O94442,ZERO
