KOG1213,7,5,Q8W1Y0;Q9S7T7;Q9FQ19;Q9FQ20,Q9S7T7,Q21306;Q19325,Q21306;Q19325,A0A021WW32,ZERO,Q1L8E1;F1QKC8;A0JMM5;B8JLA8,ZERO,A0A024R9J0;Q9H4I0,Q9H4I0,Q12158;Q12188,Q12188,P36626;P30776,P36626,
KOG0007,7,1,Q58FX2;O23467;Q8RXF1;Q9FL57;Q9SMU9;F4HW92;F4IWK8;Q94CL4;Q9FG18;F4IAL8,ZERO,G5ECL3,G5ECL3,A0A023GQ04,ZERO,Q90X41,ZERO,A0A024R1K8,ZERO,P32524,ZERO,O13900,ZERO,
KOG3302,7,1,Q53YT8;Q53YT7,ZERO,B2D6P4,ZERO,P20227;Q9VQE8;Q27896;M9PHD8,ZERO,Q7SXL3;Q5U385;E7EYP5,ZERO,P20226;P62380;Q6SJ96,P20226;P62380,A0A023PXK,ZERO,P17871,ZERO,
KOG0952,7,4,Q5D892;Q9FNQ1,Q5D892,Q9U2G0,Q9U2G0,Q9VF56,ZERO,B0S754;I6L848;K7DY02;F1QWJ0,ZERO,O75643;Q8N3C0;A2PYH4,A2PYH4,A0A023PYF;P51979;P53327,P51979,Q9UT24;O60072,ZERO,
KOG1162,7,2,Q8S403;Q93ZF5;Q6R8G7;Q6R8G3;Q6R8G2;Q6R8G0;Q6R8G5;Q6R8G4;Q6R8G8;Q9LJW0;Q6R8G6;Q8VYS9;F4ISV2,Q6R8G6,Q9XX10,Q9XX10,Q9VRR2;Q9VWZ2;Q9W4P9;Q7KT29,ZERO,Q1LYM7;A8DZH4,ZERO,A0A024R911,ZERO,A0A023PYH;P16151,ZERO,Q9UU86;Q10151;Q9UTD8,ZERO,
KOG0379,7,4,Q9SHS7;Q8L7U5;Q9C8K7;Q8W4K1;Q9SJM2;Q93XW5;Q9FZ82;Q9SJF0;Q8RY71;Q9LZ83;Q9LR78;Q9S7W4;Q0WWX4;Q9C6A4,ZERO,Q9N3K6;G5EEG5;Q95PZ3,G5EEG5,Q95TX5;Q9W3D5;Q9W281,ZERO,E7F538;E7EZ78;E7FFD1;E7F160;F1RDA4;E7F8I0;F1R1R9;F1QIX9;F1RDQ1;Q32PP0,ZERO,A0A024QZB0;A0A024R8A0;Q6PID8;Q8N7A1;Q8NEP7;Q9BQ90;Q9Y2U9,Q9BQ90,P50090;P38853,P50090;P38853,P15258;O14248;P87061,P15258,
KOG0817,7,2,Q9MA55;Q8RWD9;Q9STP8;Q9SM23;Q9STX1;P57752,Q9SM23,Q20507;Q20862;Q9XTZ5;Q9XXJ2,Q9XTZ5,P42281;Q9VSP9;Q9VS21;Q9VS20;Q9VQI6;Q9VLS4;Q9VRG6,ZERO,B0S5S9;E7F6L9;E9QCH6;G1K2Q6;K7DY20;Q4V8S5;Q6P5L2,ZERO,A0A024R915;A0A0A0MTI5;O75521;Q5T8D3;Q8N6N7;Q8NC06,ZERO,P31787,ZERO,Q9Y7Z3,ZERO,
KOG0583,7,5,Q940H6;Q9C562;Q9SMQ4;O65554;Q6AWV4;P43292;Q9LYQ8;Q93VD3;Q9LZW4;Q9SEZ7;Q9FJ55;P92958;Q9FFP9;Q8W1D5;Q39192;Q39193;Q9FLZ3;Q9SUL7;Q8S9D1;Q94C40;Q94CG0;Q9LP51;Q9MAM1;P92937;O22932;Q9STV4;P43291;Q38997;Q9M9E9;Q9LDI3;O80902;Q84VQ3;Q9C958;O64812;Q2V452;Q9FJ54;Q9XIW0;Q9SN43;Q8RWC9;Q9LEU7;O22971,Q38997,O62424;G5EED4;O17879;Q86S44;O44546;O44547;Q9TXI1;Q4U220;O61821;U4PR86;P45894;Q23128;H2KZK1;Q9GN62,G5EED4,Q9VE58;Q9V3Z1;Q8T4D4;Q9VPW3;Q8T9L5,ZERO,Z4YHY2;B8A5A9;F8W583;F1R950;F1QN04;F1R964;F1QZ77;F1QD36;B0S5E5;B8A619;B8A5A5;F1QC32;E9QI67;F1RBU7;H9GXY2;H9GY71;E9QFL3;F1QHD7;F1R8Z5;F1QKR0;F1QUY5;E9QGG6;F1R6W2;E9QI79;E9QHN7;F1QKU7;H9GXC5;F1QF36;F1R505;F8W410;F1QS01;F1QXU2;F1QFP7;Q1LVI1;F1QPV7;B0S6U5;B0UX73;Q5SPE1;F1RAZ5;F1R2X1;I3ITJ9;E9QDG5;F1RA17;I3ITP8;I3ISX2;E7F516;F1QJ53;E7FFL2;E7F6S0;F1RAA6;F1REB3;I3ISV2;E9QDA7;F1QRZ0;E7F209;E7F7X7;F1QQM2;I3ISY2;F1R057;F1QH02;F1Q5E9;F1QKV5;I3ITP5;F1QI35;A5PN17;A5PN16;E7F040;A5PN15;Q5SPR4;F1RC72;E7FEM7;F1QIQ5;F8W231;B8A628;F1QLS9;F1QX68;F1QK27;F1RBE1;F1QHX8;H9GZC5;F1Q8X1;F1QDJ0;E7F3T6;B8A5A6;F1QIK9;F1R0W6;F1QFL3;F1QY82;F8W437;F1QLC7;B0S7F8;F1QH46;F8W3Y0;F1QER0;A3KQP2;F1QCK3;E7F2S1;I3IS95;B8A622;E7FG15;F1QA52;E9QD06;Q08BC0;B0UXE1;F1QQN3;F1QMR0;B0V0V9;F1QGU2;F1QKR4;E9QER9;F1QRU2;F1QSE8;F1R8K8;F1QDZ7;E7F7Y6;E7FG79;A0A0A0MPI0;F1QKI3;A2CEU3;F1RE37;H9GZE3;F1QWQ6;F1QTE5;F1R188;F1QYT9;I3ISE6;H9GX66;F1Q4L5;F1R8K3;F1QLD1;F1QQG5;F1QTI8;F1QVY3;B8JIN6;H9GXY0;F1RDA8;F1Q7K6;E9QBJ8;F1QLD9;F1QCD3;E7F3S2;F1QVL1;F1QWX9;F1QTA8;A2ARG9;E9QE71;E9QE87;E9QI89;I3ITN2;F1REL2;B8A625;F1QK99;B8JIW2;F1QY98;F1R6Z0;F1QWF5;F1QWF4;B0S6U4;F1R0G5;E7F426;F1QB23;F1QU75;F1R977;Q1LX85;F1QMM2;E7FBA4;I3IT68;H0WFD5;H9GXX6;F1RB75;F1RD44;F1QCV8;F1QY62;F1QPH7;F8W2H4;E7FB10;F1QCE0;F1QYN6;E9QEU8;F1QRN5;F1QSX0;F1QDN8;F1Q8R7;A0A0A0MPH5;F1QZH6;F1QMN7;E9QHP8;F1Q8L3;B0S7F7;F1RD41;F1QM12;F1QMC0;E7F7T4;B1WB50;F1QW72;F1RAT5;E9QIM1;B0S7F6;F1R835;F1R1H7;F1QG41;E9QED0;F1R487;F1QF12;F1QWT3;E9QHP1;B8A479;F1R2E1;F1R278;H9GY93;E7FD70;F1RBP9;F1QD44;B0R140;F1R4F0;F1QR35;F1R8K1;F1QPL2;F8W4N4;E9QBQ2;F1QUP7;B0S7G0;F1R5M1;E7FGF9;F1R3U4;E7FDP6;E9QHQ0;B0R139;F1R4Q7;F1QD22;F1QFH2;A3KQP4;F1R660;E9QJ21;F1QR20;F1QV45;F1QB93;F1QUU8;E7F252;F1Q5J0;E9QFF7;E9QCA7;E9QB51;F1QER1;F1QG72;F1R6F2;F1QRK1;F1QYE8;F1RA87;E9QIA8;F1R6N8;E7F0C6;F1QPE5;F1R919;F1R917;F1QAT9;B0UXE5;F1RCF5;F1QR14;F8W2F4;F1R6X3;B8JIW1;F1RBV1;H0WEV3;Q5TZ39;B0V154;H9GZ53;F1QCK1;F1QPH2;E9QJI9;F1QQF7;F1QIM3;F1QDW5;F1Q787;F1QA16;F1Q7A6;A5PN42;Q1MT58;I3ISJ5;F1QQS4;F1Q6Q5;F1QS37;B0S7G1;F1R050;F1RAG6;E9QDM9;E7FC93;F1R8Y6;F1QED4;B8JIN7;E9QD47;F1QV97;F1QZ28;F1R620;F1Q7P9;F1QKP2;F1QKI5;F8W2P2;E9QDF7;E9QIW0;E9QJM3;F1QQH7;F1R036;F1R1V3;F1QZJ4;B7ZDE1;F1RBB6,ZERO,A0A024QYW7;A0A024RD25;A0ZT98;A0ZT99;P57058;Q14680;Q15831;Q6SA08;Q86V86;Q8IY84;Q8N2I9;Q92519;Q96PN8;Q96RU7;Q96RU8,A0ZT98;A0ZT99;Q15831;Q6SA08;Q96PN8,Q03002;Q12505;Q01919;Q03785;P36003;P53233;P25389;P36002;P38691;P47116;Q12152,P25389,O14328;Q9URY1;O59697;P08092;Q9HFF4;O13945,P08092,
KOG0118,7,6,O80678;Q9SHZ6;Q9FX45;Q9FM47;Q9C8M0;Q9LRR6;Q93W34;Q43349;Q9LIS2;Q9FFZ6;Q6NPL0;Q8RWN5;Q9SEE9;Q9ZUJ3;Q8LPQ9;Q9FZ84;Q9SX79;Q1ECN0;Q9SFB4;Q9FIU6;Q9SVM8;Q9FNR1;Q8W592;Q9M3B8;Q8L440;Q9S7N9;Q9SAF2;F4HT49;Q9FM71;Q9C652;Q9LNP1;Q9LES2;Q8VXZ9;Q0WW84;Q9SAB3;Q9SJ28;Q03250;Q39061;Q9FGE6;Q67XI5;Q9SEU4;Q9LUK6;Q9C909;Q9SG10;Q9SHZ5;Q9LKA4;Q9LPI5;Q9FPJ8;O22703;O82299;F4I3B3;F4JZL1;Q8L3X8;Q9SX80,Q9FM47;Q8LPQ9;Q03250,Q95QL3;Q9TZI2;O45712;Q22318;O62337;D0G912;Q20870,Q95QL3;Q20870,Q9VF55;P48810;Q9VTH9;Q8SXG7;A4V3J5;Q9VA45;Q8SY49;A4V3G9;Q9VHP3;Q24207;Q0KHQ1;X2JE34;A0A0B4K6U6;Q8T3X1;Q9VJG2;Q9W158,P48810;Q24207,Q1LUN6;Q6NYA1;F1QXG2;F1QFV2;F1QQ28;Q803J4;F1QRD4;E7FAB3;Q6DHU2;Q566W6;F8W4E3;F1QAY0;F1QXT7;E7FBT4;Q5SP50;E7F3E5;B0V1I7;F1Q8A5,Q1LUN6,A0A024QYX3;A0A024RA61;A0A024RAZ7;A0A024RDF3;A0A0A0MSS9;O60812;O75494;P23588;P42696;P51991;Q13117;Q15056;Q53XX5;Q86SE5;Q8N9W6;Q92904;Q9GZT3;Q9NX07;Q9NQZ3;Q9NR90;Q9UKM9;Q99729,Q13117;Q8N9W6;Q92904;Q9GZT3;Q9NQZ3;Q9NR90,Q08208;Q07623;Q3E746;Q08925;P32831;Q03735;P32605;Q12046,ZERO,O14369;Q9P6M8;O13759;O13674;O13741;P87126;Q09702;O59784;O94621;O60176,Q09702;O59784,
KOG0845,7,1,F4ID16;Q8RY25;Q9CAF4,ZERO,G5EEH9,G5EEH9,Q7KLX0;Q867W7,ZERO,E7F981,ZERO,P52948;Q9HCD5,ZERO,P49687,ZERO,Q9UTK4,ZERO,
KOG1399,7,2,Q9SXE1;Q9SVU0;Q9LMA1;A8MRX0;Q9SZY8;Q9SXD5;Q9C8T8;Q93Y23;Q9LFM5;Q9FKE7;O49312;Q9FWW9;Q94K43;Q9LPL3;Q9SXD9;Q9LKC0;Q9SS04;Q94BV5;O23024;Q9FVQ0;Q9FWW6;Q9FLK4;Q9C8U0;Q9FF12;Q9FWW3;Q8VZ59;Q9SH25;Q9SVQ1;O64489,Q9SZY8;Q9LFM5,G5ECJ8;G5EBJ9;Q9GYJ1;Q17585,G5ECJ8,Q962N6;Q95V23,ZERO,Q5TZD3;Q7T1D7;B0UXS1;Q6NZ32;Q5TZD0;E7F2R0,ZERO,A0A024QYY6;A0A024R8Z4;A0A024R934;P31512;P49326;Q8IWF2;Q99518,ZERO,P38866,ZERO,Q9HFE4,ZERO,
