KOG0619,7,4,Q8GYK0;Q0WL06;F4K682;O48705;O80809;Q5G5E0;Q9SSD1;Q9SFG3;Q9SKK2;Q9C6A7;Q9SVM5;Q8W4Q3;Q1PEN0;O49325;O64566;Q9SSM0;Q9LQ21;Q9SRL2;Q9FH86;Q9SJH6;O49327;Q9LRX1;Q9XID2;Q9FH56;O64757;Q9LS80;Q6Q4D0;F4HT77;Q9LJS2;Q5PP26;Q9C906;Q6NQP4;Q9LT39;Q8VYG9;Q70CT4;Q9LS79;Q9FHL8;Q9LJK6;O49328;F4HR92;Q9C6A6;Q9M9X0;Q9LXU5;Q9FFJ3;Q9C6A8;Q9C637;Q9SVW8;Q7FZR1;Q9ZT98;Q93YT3;F4HV48;Q00874;Q5G5D8;Q0WN16;Q9S9U3;Q9FW48;Q8RWE5;Q9FPJ5;O48763;Q9LP24;Q9ZUK3;O81455;Q9SRL7;Q9M2Y3;Q9CA41;Q0WVH1;Q8VZG8;Q9FW47;Q9FW49;Q9LRW9;Q9LRV8;Q9FL15;Q9M1B6;Q9SHI3;Q9C9H6;Q0WR58;Q9C9H7;Q9MA83;Q9SGN1;O48849;Q9SHU4;P0C895;Q9FJ11;Q9M9X1;Q9M0H5;Q8RX63;F4IHG3;Q8GZ49;Q8RWI2;Q9FLK9;Q9LJS0;Q9LUN3;Q9SN38;Q8RXQ6;O49329;Q9SHI4;Q0WRZ8;Q9C611;Q9SVN2;Q9C699;Q9LI76;Q9FK66;Q9SKK5;Q9LJW7,ZERO,G5EG78;G5EFP4;Q93373;Q93377;Q18902;Q9U3A0;Q09564;Q22075;P90920;Q23580;Q22187;Q1ENI8;O01764;Q9N4Z5;Q9N5D7;Q93177;Q7JPD6;Q93539;Q9N3F2;Q9XW74;Q9TZM3;O61967;O02329,G5EG78,Q8SXT3;Q9VJ07;Q9W2D7;Q9VR83;Q7JWP9;A0A0B4KHY2;Q9VZ84;Q9VKX6;Q8IH19;Q9VJQ0;Q95S21;Q9V430;Q9VJN8;Q9VQS3;X2JJX6;Q7KV24;Q9VHV2;Q9VBR3;A0A0B4KHK5;Q9W2J7;Q9VT89;Q6NR19;Q7JPR9;Q7JXU8;Q24386;Q0KHN6;Q9VDD5;A0A0B4LGB0;Q7K2X5;M9PFH7;Q9VDD4;Q9VAD1;Q5U1A7;Q9W3T9;A0A0B4KFU1;Q7KT58;Q9VBP0;Q6AWM0;Q9W128;X2JCD3;Q9VEH4;Q9W266;Q86PM1;M9MSI4;Q9VT44;Q2XY26;Q9V9V6;Q9VV09;Q8T3J2;Q9VK22;Q9VHV3;B6IDK2;Q9VZZ4;Q9W2U2;Q9BN18;Q8SZV5;D0IQL1;X2J6K6;Q9VE49,Q9VZZ4,E7FC34;F1QG51;F1QG52;I3ITI1;F1RE98;B8JKF3;F1R0N0;B8JIB3;F1R616;E7F6K4;Q1LXA7;H9GY03;E9QIH3;B0S5R7;B8A5X5;F1Q9H7;F1QCS9;E7EXY6;I3IS38;F1Q6F4;F1QPU8;E7F5U2;F1Q8K6;Q6GMI5;F1QPB1;F1R2G2;A8DZ86;E7FDN5;H9GYJ3;E7F9S2;E7F333;I7HJH4;M9MM99;E7EXM1;F1QHX4;A2BIH6;E7FFN8;F1QJU2;Q66HV9;F1RET9;F1R2H9;F1QRY7;F1QX89;F1R770;F1QBH8;Q1LV51;E7FF15;Q1L8Y7;F1Q7R2;E7F0F5;A4QNV9;E7F7W3;F1Q7V7;E9QF02;E7F965;Q15JE7;E7FBM0;F8W4D7;F1QFI1;F1R6B0;Q1ED19;F1QKB4;Q5RI43;F1QJY2;B8A5X4;B8JIN1;G1K2U4;F1R1Q4;F8W5N7;B0S5X0;A0JMK3;F1QJL6;E9QJJ1;E7F2A9;F1QGN1;F1Q881;F1QLW6;F1QRB0;F1QFS7;F1QR37;B8JLP1;E7FB87;F6P621;B8JKM0;A2CF42;Q6DHL5;F1Q983;Q5RI45;B3DK88;E7F3W2;B0R160;F1Q809;F1R0V0;E7FE43;F1QCU7;F1QA76;F6NL91;F1R6I3;A3KH16;E7FBW4;E7FEH0;E7FB32;E7FDK4;E7FBY6;F1QLS2;E7EZ70;E7FB25;Q5RHE5;F1R6G3;E9QCF6;B0S8K3;A5WVM1;F1Q7W4;E7F813;F1QK21;F1QVN0;F1QNH9;E7F1H8;E7FFB2;E7FE13;F1R8Q8;E7FB24;A2BF98;F1QVP4;A8BBJ2;Q4H4B6;F1RDG1;F1R478;E7EXH9;F1R2S9;F1QT78;E7EZ83;B0S5B5;F1Q726;F1RDW2;F1Q661;H9GZ54;A9JRH0;E7EXN8;E7FDP8;E7FC40;H9GXC4;E7FCW6;F1QY29,F1R6G3,A0A024R2R5;A0A024R4I8;A0A024R5I6;A0A024R5J7;A0A024R5J8;A0A024R870;A0A024R892;A0A024R971;A0A024R993;A0A024R9M3;A0A024RBC3;A0A0A8K8C7;A4D0T1;A4D1F6;A6NDA9;A6NIK2;A6NIV6;A6NM36;A6NM62;A8K0R3;Q86UN3;P14770;Q6WRI0;Q6P2D8;Q9BXN1;Q6NSJ5;P02750;Q8TDW0;Q9H756;Q7L1W4;P13224;Q9UFC0;Q96PE1;Q9HBL6;Q86YC3;Q6PEZ8;Q9HB75;Q9BTN0;Q50LG9;Q99983;Q8N7C0;Q9BZR6;Q6UXM1;Q6FH10;O43300;Q8N967;Q9P2V4;Q86VH4;Q6ZNQ3;P22792;P51888;Q13641;Q9P244;Q6UXK5;Q8WXD0;P23515;Q6P9F7;P07359;Q9ULH4;O14498;P21810;Q86UE6;Q9HBW1;Q5VT99;Q86VH5;Q8N6Y2;Q86X40;Q96CX6;O94769;Q96L50;Q9HCJ2;Q6UY18;Q7L985;Q9BXB1;Q68CR7;O60938;P51884;Q8IWK6;Q7Z5L7;Q9Y2L9;Q9UBM4;P35858;Q6EMK4;Q8N456;Q9Y4C4;Q8WUT4;Q5JU00;Q7Z2Q7;Q96DD0;Q96FE5;O60346;Q96NI6;Q38SD2;Q9HBX8;Q5BKY1;Q9UQ13;Q6UXK2;Q2I0M4;Q6ZSA7;Q9HBX9;J3KQU2;Q6NUI6;Q9NR99;Q86UN2;O15335;Q86SQ6,P21810;O94769;P51884;Q6NUI6,Q08817;P08678,ZERO,P14605;O94294,ZERO
KOG0504,7,1,F4HT36;F4JG88;F4JVF4;F4K1T0;F4K1T9;O22265;P93002;Q05753;Q29Q26;Q56XJ1;Q5ICL9;Q6AWW5;Q8GWI1;Q8GX17;Q8GYH5;Q8L746;Q8LDN2;Q8LPS2;Q9C7A2;Q9FFL9;Q9FFM1;Q9FG97;Q9FH33;Q9FH34;Q9FMD0;Q9FNP4;Q9FX13;Q9FY48;Q9LF32;Q9LJW8;Q9LQP7;Q9LR59;Q9LSB0;Q9LU58;Q9LVG7;Q9LYA6;Q9LZ27;Q9LZ28;Q9LZ29;Q9M109;Q9M1I7;Q9M396;Q9M8X0;Q9M9R3;Q9M9R5;Q9S7I4;Q9S9T3;Q9SAR5;Q9SDA0;Q9SF48;Q9SJA5;Q9SKB8;Q9SQK3;Q9SR03;Q9SY76;Q9SZI3;Q9ZT72;Q9ZU96;Q9ZT78;Q9ZT76;Q9ZT73;Q9ZT74;Q9ZVC2,ZERO,Q18176;Q9U2C5;B7WN72;G5EFS1;O45398;Q9U2L2;Q9GYM5;Q23595;G5EBJ4;O18152;Q17583,ZERO,A0A0B4KHZ8;A8JQS3;B7Z0B1;M9MSB2;M9NFF9;M9PD95;M9PI73;Q7JQL2;Q7JUF2;Q7K5K0;Q8T9G9;Q94527;Q9VPY3;Q9W089;Q9VQI1;Q9VMV0;Q9VTS9;Q9VSA4;Q9VB40;Q9VT59,ZERO,A2AV32;A2CEZ8;A2CF23;A7YY95;A9C3P2;B0R1B6;B0S4T8;B0S6J8;B0S768;B0S7L8;B0UXZ0;B0UZD1;B3DJC4;B8A5T0;B8JIG2;E7EYZ4;E7EZH5;E7F095;E7F3S8;E7F461;E7F4C1;E7F570;E7F6L6;E7F7S0;E7F8W4;E7F9M0;E7F9U5;E7FC91;E7FD97;E7FDG3;E7FFH0;E7FFI8;E7FFR2;E7FGI8;E9QEX9;E9QFU2;E9QHZ7;F1Q4U7;F1Q5L8;F1Q619;F1Q6S5;F1Q6Y2;F1Q811;F1Q993;F1QB63;F1QBD5;F1QBX1;F1QCG4;F1QCR9;F1QEW8;F1QEZ4;F1QFJ6;F1QHK7;F1QJ05;F1QM15;F1QMT8;F1QQ98;F1QX58;F1QXT3;F1QY53;F1R014;F1R0Q7;F1R1D9;F1R409;F1R573;F1R599;F1R859;F1RC68;F1RCM1;F1RE33;H0WF25;H9GXE5;H9GXX0;H9GYU5;I3ISM6;Q0II00;Q1LX77;Q1LX89;Q1LX92;Q501T0;Q502M6;Q5BJ03;Q5RIL5;Q5U3A5;Q68EL0;Q6DGX3;Q6GMG7;Q7T386;Q7ZW68,ZERO,A0A024R153;A0A024R2G8;A0A024R6E7;A0A024R796;A0A024RBW7;A0A024RD24;A0A024RE01;A0A0A0MQZ8;A2A2Z9;A6NHU9;A6NK59;A6QL64;A7E2S9;B1AK53;B4E2M5;C9JTQ0;K7PPU3;O75179;P19838;P20749;P25963;P57078;Q00653;Q15327;Q15653;Q3KP44;Q4UJ75;Q53LP3;Q53RE8;Q5HYF3;Q5JPF3;Q5SQ80;Q5VYY1;Q68DC2;Q6ICV4;Q6NXT1;Q6P6B7;Q6S545;Q6ZVH7;Q6ZVZ8;Q6ZW76;Q7Z713;Q86SG2;Q86YT6;Q8IVF6;Q8N6D5;Q8N8A2;Q8N8V4;Q8N9B4;Q8NB46;Q8NI38;Q8TC84;Q8WWH4;Q8WXH4;Q8WXI3;Q8WXK1;Q8WXK3;Q8WXK4;Q92527;Q96AX9;Q96BM1;Q96HA7;Q96NS5;Q99549;Q99728;Q9BQG2;Q9BQI6;Q9BXX2;Q9BYH8;Q9C0D5;Q9GZV1;Q9H765;Q9HCD6;Q9NWX5;Q9P2R3;Q9Y566;Q9ULJ7;Q9Y576;Q9Y574;R4GNA2;Q9Y2G4;Q9Y6H5;Q9UPS8;Q9UPX8,P20749;Q00653,P17442;P25631;P35845;P40480;P46683;Q02979;Q04749,ZERO,O14340;Q9C104;Q9HFE7;Q9UU77,ZERO
KOG1176,7,1,F4HUK6;O80658;P0C5B6;Q9LPK7;Q84P23;Q9SS00;Q9LU36;Q9LQ12;Q8H151;Q42524;Q9SS01;Q9S777;Q9S725;Q8VZF1;Q9LPK6;Q9LQS1;Q84P21;Q9FFE6;Q9C9G2;Q9SMT7;Q9C8D4;Q84P25;Q9SEY5;Q84P24;Q3E6Y4;Q9LMW0;Q9FFE9;Q9SFW5;Q84P26;Q9M0X9,Q9LQ12;Q9S777,O16481;O45873;H2KZ58;Q17577;O02200;Q9XV68;Q23404;O02171,ZERO,Q9VXZ8;Q7KVU5;Q9W171;Q9VRQ4;Q9VDU1;Q9VDU4;Q9VDU3;Q8MYZ4;Q9W2R2;Q9VRQ5;Q9VGC5;Q9VCC6,ZERO,E7F2S8,ZERO,Q4G176,ZERO,P38137,ZERO,O74976,ZERO
KOG0714,7,1,Q9M2L3;O04087;Q2V413;Q0WVU7;Q9FH28;Q8RYC5;Q9M034;Q9M1Q5;Q8RXJ5;Q0WRX5;O80481;Q9FFK2;Q9FNA0;Q9SR91;Q9SY77;P93739;Q9LJG5;F4JY55;Q9XIF5;Q1G3W9;Q9SIL4;Q8L7R1;Q0WQM3;Q9FMF3;Q9SIL3;Q0WTI8;Q8L763;Q9SU57;O82623;Q9SSJ9;O49457,ZERO,Q20774;Q9U2L4;Q9TY07;Q94421,ZERO,Q9VX95;Q7JUZ6;Q9VFP0;Q9VPY9;Q9VNW0;Q5U0V4;Q9W083,ZERO,E7F2F5;A7MCD0;A0JMH5;F1R7T8;F1R1B0;A8WG70;Q6DEF3;B8JM56;E7F7A5;F1QB06;E7F6R4;F1QYB0;F1QW75;Q7SXR2;A5WUU0,ZERO,A0A024R0Z2;P59910;O75190;Q8TBM8;Q6FIF1;Q9UDY4;O75953;Q8NHS0;Q9H819;Q53QD7;Q6FHS4;J3KPS0;Q7Z6W7,O75190,P48353;P25294,ZERO,Q9Y7T9;Q09912;O94566;O13633;Q9UUG3;O13601,ZERO
KOG0546,7,1,Q9C566,ZERO,P52016;Q09637,Q09637,Q4V5H1;Q8IHF0;Q9VT21,ZERO,F1R6Z6;E7F5I0;F1R5R3;F1QFU5;F1R3N5;H9GYK6;F1QXN7,ZERO,A0A024R2N6;E5KN55;Q13427;Q6FH36;Q8IXY8,ZERO,P47103;P53691,ZERO,Q11004,ZERO
KOG2100,7,1,Q84LM4;Q8VZF3;Q9FG66,ZERO,Q18253;Q7JKY3;H2L0B1;P34422,ZERO,X2J9P4;A0A0C4DHM8;A2RVG6;Q9VMM2,ZERO,B5DDZ4;A9C3Q8;E7FA33;F1R865;E7FGL7;E7F5R8;F1QBX3;E7F329;F1QTY6,ZERO,A0A024R2U9;P27487;P42658;Q12884;Q8N608,P27487;Q12884,P33894;P18962,ZERO,O14073;Q9P778;Q9P7E9,ZERO
KOG0157,7,1,O64631;Q9FMY1;Q9LEY2;Q9SX95;Q9C5Y2;Q9SHG5;Q9SVB0;F4HQ70;Q9LT90;Q9CAD6;Q9ZV28;O22189;O80806;Q9FMV7;Q9M066;Q949P1;Q9SJ08;Q93Z79;Q6NPN1;F4I3H7;Q9FMA5;Q9SVA7;Q8S9I7;Q9C8E2;Q9FHC8;Q9SAE8;Q9FWR7;Q9FF18;Q9LJK2;O64698;Q8L7D5;Q9ZV29;Q9LUD1;O81077;Q9LYZ5;O23365;Q93VK5;Q9LVY4;Q9LUC8;Q9LUC5;Q9FH76;Q8L7C0;O23384;Q94IA6;Q500V6;O22162;Q9SJH2;O49373;O80729;Q9ZUX1;Q9LNL3;O23066;Q9LI69;Q42569;Q9LMM1;O23385;Q6TBX7;Q9C788;Q9SMP5;Q9LUD3;O80823;Q9LUC6;O64989;O48786;Q9T093;Q9LXX7;Q9ASR3;Q9FYL0;Q9LXH8;O64697;Q0WPQ3;Q9LUD2;F4IW83;Q9SVA8;Q9LTN1;Q9FVS9;P48422;Q9SVA9;Q9ZW95;Q9FHC0;Q9LUC9;Q9LVY3;F4K6S3;Q9S833;Q940V4;Q9LVY7;Q9FRK4;Q6NKZ8;Q1PFG4;Q8VZC2,Q42569;Q9C788,G5EC97;Q9U1R5;Q9N4Q5;Q9N574;Q9XVA6;Q93556;Q9N525;Q27472;O45219;O17851,ZERO,Q9VS79;Q9VA27;Q9VFJ0;Q8MS75;Q27589;O46054;M9PEC6;Q9VG40;O46051;Q9VYY4;Q3YNE4;Q9V558;Q9VMS8;Q9VLZ7;Q9V559;Q9VMS9;Q8SZ48;Q3YNA8;Q9VGB3;Q9VL92;A0A0B4LGV2;Q9V4T5;Q9V3S0;Q9V7G5;H1UUE5;Q9VXY0;Q9VGB4;A0A0B4LFT2;M9PI92;Q9VYQ5;Q9VMS7;Q9VS78;Q9VYQ7,ZERO,F1Q9I2;E7FB64;Q5U870;A0JMQ6;F1RDH6;Q1JPS3;F1QTE1;Q7SXV4;A1L1M2;F1RA02;F1QHW0;Q1LV36;A5WWJ0;A0JMN1,ZERO,A0A024R5S8;A0A024R7J8;A0A0A0MR49;O43174;P78329;Q6UW02;Q9HBI6;Q9NR63;Q02928;P13584;Q9Y6A2;Q6NT55;Q5TCH4;Q8N118;Q6V0L0;Q6ZWL3;Q86W10,ZERO,P21595;P54781,ZERO,O13820,ZERO
KOG2294,7,1,Q9SFV2;Q9SFV6,ZERO,O17617;Q10924;Q21187;E9P8A1;Q22510;P91278;O16850;H2KZ39;Q19802;Q18694,ZERO,Q9U1H1;Q02361;Q9XTP7;Q9W5X5;Q53YH1;D3PFH7;M9PF47;Q8SZ95;A0A0B4KGN1;Q8SX31;Q9V481;Q9VS05;P32030,ZERO,A3RK75;B3DGC2;F1R8Z9;A2CE80;E7F8H3;E7FFM9;Q566W3;A4IGC7;Q1LWZ9;F1R5S7;B0UXI2;F1R4K6;A1L1S5;A2CEM5;Q5I0F7;B0UXI3;E7FA97;Q568V0;F1QME9;E7F138;F1R3E6;Q5TYS1;F1QHL6;Q1JPV2;F6PES3;E7F6L1;Q5H7C2;F1R9K2;A2BGM5;K7DY44;E7FER3;B3DHP4;A0A0A0MPK6;F1R746;Q1LVK4;F1R6J3;F1QUF0;F1QJW8;F1QRF9;A7MBX0;E7F234;Q9DE25;Q6NY62;E7EZ33;E7FCL5;F1QZ26;B0R0B2;Q9DE24;Q6NW50;Q7SYM1;F1RES1,ZERO,A0A024R6I1;A0A024R8P1;A0A0A1EII5;A6NCE0;E0XEN6;O00358;Q6ZQN5;P55316;Q99958;O43638;P85037;Q12946;P98177;Q01167;Q12778;O15353;Q9NU39;Q12952;Q12947;Q12950;Q53ZD3;Q6PIV2;Q6PJQ5;P32314;O75593;Q08050;Q9P0K8;Q96NZ1;Q8WXT5;Q5VV16;Q9C009;Q6VB84;Q9UPW0;Q9UJU5;O60548;W6CJ52;O43524,Q99958;Q12946;Q12947;W6CJ52,P25364;P40466;P41813;P39521,ZERO,O13606;O14270;O43058;O60129,ZERO
KOG1437,7,3,Q8RWC5;Q66GR0;Q9FT45;Q9FFK9;Q93W32,ZERO,P90848,P90848,D3DMM4;A0A0B4KH94,ZERO,E7F5I3;Q75U66,E7F5I3;Q75U66,A0A024RDS2;Q15582,A0A024RDS2;Q15582,Q07895,ZERO,O94439,ZERO
KOG0207,7,1,Q9SZW4;Q9M3H5;Q0WUP4;Q9SZC9;F4K8C8;Q9S7J8;Q9SH30;P0CW77,ZERO,G5EE14,ZERO,Q9VYT4,ZERO,F1Q5B3;E7FDM8,ZERO,A0A024RDX3;Q04656,Q04656,P38360;P38995,ZERO,O59666,ZERO
KOG1181,7,1,Q9LXZ9;F4IHS2,ZERO,O44881,ZERO,A0A0B4K884;A0A0B4KEE5;A1Z9S6;Q9VG45;Q9VAT1;Q9VVB5;Q24478;Q9W053,ZERO,E7F2C0;Q6NYV9;H9GYD2,ZERO,P56715;Q8WVC0;P21815;Q13316,P21815;Q13316,P43597,ZERO,O14029,ZERO
